Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,Long_Description
AMYLNIT,"EVER INHALED AMYL NITRITE, 'POPPERS,' RUSH, ETC.",(IN01A),97,REFUSED,"These next questions are about liquids, sprays, and gases that people sniff or inhale to get high or to make them feel good. We are not interested in times when you inhaled a substance accidentally — such as when painting, cleaning an oven, or filling a car with gasoline. The questions use the word ‘inhalant’ to include all the things listed below, as well as any other substances that people sniff or inhale for kicks or to get high. Take a moment to look at the substances listed below so you know what kinds of liquids, sprays, and gases these questions are about. Amyl nitrite, 'poppers,' locker room odorizers, or 'rush' Correction fluid, degreaser, or cleaning fluid Gasoline or lighter fluid Glue, shoe polish, or toluene Halothane, ether, or other anesthetics Lacquer thinner, or other paint solvents Lighter gases, such as butane or propane Nitrous oxide or 'whippits' Felt-tip pens, felt-tip markers, or magic markers Spray paints Computer keyboard cleaner, also known as air duster Other aerosol sprays Have you ever, even once, inhaled amyl nitrite, 'poppers,' locker room odorizers, or 'rush' for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),1,Yes,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),2,No,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),3,Yes LOGICALLY ASSIGNED,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),94,DON'T KNOW,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CLEFLU,"EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",(IN01B),97,REFUSED,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),1,Yes,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),2,No,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),3,Yes LOGICALLY ASSIGNED,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),94,DON'T KNOW,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GAS,EVER INHALED GASOLINE OR LIGHTER FLUID,(IN01C),97,REFUSED,"Have you ever, even once, inhaled gasoline or lighter fluid for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),1,Yes,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),2,No,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),3,Yes LOGICALLY ASSIGNED,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),94,DON'T KNOW,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
GLUE,"EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",(IN01D),97,REFUSED,"Have you ever, even once, inhaled glue, shoe polish, or toluene for kicks or to get high?"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",(IN01E),1,Yes,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",(IN01E),2,No,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",(IN01E),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",(IN01E),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",(IN01E),94,DON'T KNOW,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
ETHER,"EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",(IN01E),97,REFUSED,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",(IN01F),1,Yes,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",(IN01F),2,No,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",(IN01F),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",(IN01F),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",(IN01F),94,DON'T KNOW,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
SOLVENT,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",(IN01F),97,REFUSED,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",(IN01G),1,Yes,"Have you ever, even once, inhaled lighter gases, such as butane or propane for kicks or to get high?"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",(IN01G),2,No,"Have you ever, even once, inhaled lighter gases, such as butane or propane for kicks or to get high?"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",(IN01G),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled lighter gases, such as butane or propane for kicks or to get high?"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",(IN01G),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled lighter gases, such as butane or propane for kicks or to get high?"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",(IN01G),94,DON'T KNOW,"Have you ever, even once, inhaled lighter gases, such as butane or propane for kicks or to get high?"
LGAS,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",(IN01G),97,REFUSED,"Have you ever, even once, inhaled lighter gases, such as butane or propane for kicks or to get high?"
NITOXID,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',(IN01H),1,Yes,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
NITOXID,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',(IN01H),2,No,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
NITOXID,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',(IN01H),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
NITOXID,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',(IN01H),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
NITOXID,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',(IN01H),94,DON'T KNOW,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
NITOXID,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',(IN01H),97,REFUSED,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),1,Yes,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),2,No,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),3,Yes LOGICALLY ASSIGNED,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),94,DON'T KNOW,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
FELTMARKR,EVER INHALED FELT-TIP PENS/MARKERS,(IN01H1),97,REFUSED,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
SPPAINT,EVER INHALED SPRAY PAINTS,(IN01I),1,Yes,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
SPPAINT,EVER INHALED SPRAY PAINTS,(IN01I),2,No,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
SPPAINT,EVER INHALED SPRAY PAINTS,(IN01I),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
SPPAINT,EVER INHALED SPRAY PAINTS,(IN01I),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
SPPAINT,EVER INHALED SPRAY PAINTS,(IN01I),94,DON'T KNOW,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
SPPAINT,EVER INHALED SPRAY PAINTS,(IN01I),97,REFUSED,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
AIRDUSTER,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,(IN01II),1,Yes,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
AIRDUSTER,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,(IN01II),2,No,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
AIRDUSTER,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,(IN01II),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
AIRDUSTER,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,(IN01II),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
AIRDUSTER,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,(IN01II),94,DON'T KNOW,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
AIRDUSTER,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,(IN01II),97,REFUSED,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),1,Yes,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),2,No,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),3,Yes LOGICALLY ASSIGNED,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),85,BAD DATA Logically assigned,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),91,NEVER USED INHALANTS,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),94,DON'T KNOW,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
OTHAEROS,EVER INHALED OTHER AEROSOL SPRAYS,(IN01J),97,REFUSED,"Have you ever, even once, inhaled some other aerosol spray for kicks or to get high?"
INHALOTH,EVER USED OTHER INHALANTS,(IN01L),1,Yes,"Have you ever, even once used any other inhalants for kicks or to get high besides the ones that have been listed?"
INHALOTH,EVER USED OTHER INHALANTS,(IN01L),2,No,"Have you ever, even once used any other inhalants for kicks or to get high besides the ones that have been listed?"
INHALOTH,EVER USED OTHER INHALANTS,(IN01L),85,BAD DATA Logically assigned,"Have you ever, even once used any other inhalants for kicks or to get high besides the ones that have been listed?"
INHALOTH,EVER USED OTHER INHALANTS,(IN01L),91,NEVER USED INHALANTS,"Have you ever, even once used any other inhalants for kicks or to get high besides the ones that have been listed?"
INHALOTH,EVER USED OTHER INHALANTS,(IN01L),94,DON'T KNOW,"Have you ever, even once used any other inhalants for kicks or to get high besides the ones that have been listed?"
INHALOTH,EVER USED OTHER INHALANTS,(IN01L),97,REFUSED,"Have you ever, even once used any other inhalants for kicks or to get high besides the ones that have been listed?"
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),377,Albuterol,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),501,Gasoline or lighter fluids,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),503,Other aerosol sprays,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),504,"Shoeshine liquid, glue, or toluene",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),505,Lacquer thinner or other paint solvents,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),506,"Amyl nitrite,""poppers,""locker room odorizer,""rush""",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),508,"Nitrous oxide, ""whippits,"" dentist gas",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),510,"OTHER Inhalant, NOT OTHERWISE SPECIFIED",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),511,"Markers, felt-tip pens, ink pens",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),512,Incense,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),516,"CHC, chlorofluorocarbon, freon, refrigerant",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),518,"Acetone, nail polish remover",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),519,Helium,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),520,"Old paint, paint",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),521,Propane,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),524,White-Out,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),526,Nail polish,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),528,Whipped-cream can,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),529,Moth balls,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),531,"Candy, powdered candy, sugar",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),534,Deodorant,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),539,Scotch-Gard,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),542,"Brasso, lens cleaner, spirits of ammonia",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),543,"Liquid oxygen, oxygen",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),548,"Cologne, isopropanol vapors, rubbing alcohol",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),553,Pixie sticks,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),560,"Diswashing detergent, laundry detergent, soap",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),586,Carbon from empty soft drink bottle,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),592,"Computer air duster, computer cleaner, dust-off",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),594,Starting fluid,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),803,"Marijuana, MarrJane, Mary Jane, MJ, pot, weed",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),805,"Cocaine, coca, cocaina, coke, perico",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),807,"Alcohol, beer, ethanol, EtOH, pink champagne",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),813,"Cigarettes, tobacco (type unspecified)",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),900,Not a drug,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5021,Octane booster,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5022,"Carbon dioxide, CO2, dry ice hits, CO2 tank",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5028,"Carburetor cleaner, engine cleaner",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5035,Brake cleaner,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5049,"Hand sanitizer/cleaner, contents unspecified",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5053,"Electrical parts cleaner, electronics cleaner",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5055,PVC,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5077,Resistol,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5078,Axe body spray,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5097,"Lysol, aerosol unspecified",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5098,"Axe/Axe deodorant, aerosol unspecified",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5104,"Shoe cleaner, otherwise unspecified",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5116,Vinegar,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5149,Sanitizer; type unspecified,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5159,Gas/fuel cleaner/treatment,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5161,Smoke from burning wood,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5162,Mold cleaner; contents unspecified,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5165,Citric acid,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),5166,Frosties,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),8011,"Herb, flower, plant; type unspecified",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),8024,"Asthma inhaler,asthma medication,bronchial dilator",
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),8056,Vicks VapoRub/inhaler <OTC>,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),8543,Nitroglycerine,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),9985,BAD DATA Logically assigned,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),9991,NEVER USED INHALANTS,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),9997,REFUSED,
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),9998,BLANK (NO ANSWER),
INHALOT1,OTHER INHALANT - SPECIFY 1,(IN01SC1),9999,LEGITIMATE SKIP,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),501,Gasoline or lighter fluids,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),503,Other aerosol sprays,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),504,"Shoeshine liquid, glue, or toluene",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),505,Lacquer thinner or other paint solvents,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),506,"Amyl nitrite,""poppers,""locker room odorizer,""rush""",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),510,"OTHER Inhalant, NOT OTHERWISE SPECIFIED",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),516,"CHC, chlorofluorocarbon, freon, refrigerant",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),518,"Acetone, nail polish remover",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),519,Helium,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),526,Nail polish,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),528,Whipped-cream can,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),531,"Candy, powdered candy, sugar",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),534,Deodorant,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),548,"Cologne, isopropanol vapors, rubbing alcohol",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),594,Starting fluid,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),802,"THC, cannabinol, marinol, tetrahydrocannabinol",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),803,"Marijuana, MarrJane, Mary Jane, MJ, pot, weed",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),5044,"Powdered cleansers (e.g. Ajax, Comet, Boraxo)",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),5049,"Hand sanitizer/cleaner, contents unspecified",
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),5160,Smoke from burning paper,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),5168,Cigarettes coated with salt,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),8056,Vicks VapoRub/inhaler <OTC>,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),9985,BAD DATA Logically assigned,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),9991,NEVER USED INHALANTS,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),9997,REFUSED,
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),9998,BLANK (NO ANSWER),
INHALOT2,OTHER INHALANT - SPECIFY 2,(IN01SC2),9999,LEGITIMATE SKIP,
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),510,"OTHER Inhalant, NOT OTHERWISE SPECIFIED",
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),518,"Acetone, nail polish remover",
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),548,"Cologne, isopropanol vapors, rubbing alcohol",
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),5097,"Lysol, aerosol unspecified",
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),9985,BAD DATA Logically assigned,
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),9991,NEVER USED INHALANTS,
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),9997,REFUSED,
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),9998,BLANK (NO ANSWER),
INHALOT3,OTHER INHALANT - SPECIFY 3,(IN01SC3),9999,LEGITIMATE SKIP,
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),548,"Cologne, isopropanol vapors, rubbing alcohol",
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),5044,"Powdered cleansers (e.g. Ajax, Comet, Boraxo)",
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),9985,BAD DATA Logically assigned,
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),9991,NEVER USED INHALANTS,
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),9997,REFUSED,
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),9998,BLANK (NO ANSWER),
INHALOT4,OTHER INHALANT - SPECIFY 4,(IN01SC4),9999,LEGITIMATE SKIP,
INHALOT5,OTHER INHALANT - SPECIFY 5,(IN01SC5),9985,BAD DATA Logically assigned,
INHALOT5,OTHER INHALANT - SPECIFY 5,(IN01SC5),9991,NEVER USED INHALANTS,
INHALOT5,OTHER INHALANT - SPECIFY 5,(IN01SC5),9997,REFUSED,
INHALOT5,OTHER INHALANT - SPECIFY 5,(IN01SC5),9998,BLANK (NO ANSWER),
INHALOT5,OTHER INHALANT - SPECIFY 5,(IN01SC5),9999,LEGITIMATE SKIP,
INHALEVER,EVER USED INHALANTS,(,1,Yes,"The answers that people give us about their use of inhalants are important to this study's success. We know that this information is personal, but remember your answers will be kept confidential. Please think again about answering this question: Have you ever, even once, used any type of inhalant for kicks or to get high? NOTE: This variable was coded as 1 if respondents answered yes to the above question and 91 if respondents answered the above question as no (see below). This variable also was coded as 1 if the questions corresponding to any of the following variables were answered as yes: AMYLNIT, CLEFLU, GAS, GLUE, ETHER, SOLVENT, LGAS, NITOXID, FELTMARKR, SPPAINT, AIRDUSTER, OTHAEROS, or INHALOTH. This variable also was coded as 91 if all of the above variables were coded as 91. (AIRDUSTER, AMYLNIT, CLEFLU, ETHER, FELTMARKR, GAS, GLUE, INHALOTH, INREF, LGAS, NITOXID, OTHAEROS, SOLVENT,"
INHALEVER,EVER USED INHALANTS,(,91,NEVER USED INHALANTS,"The answers that people give us about their use of inhalants are important to this study's success. We know that this information is personal, but remember your answers will be kept confidential. Please think again about answering this question: Have you ever, even once, used any type of inhalant for kicks or to get high? NOTE: This variable was coded as 1 if respondents answered yes to the above question and 91 if respondents answered the above question as no (see below). This variable also was coded as 1 if the questions corresponding to any of the following variables were answered as yes: AMYLNIT, CLEFLU, GAS, GLUE, ETHER, SOLVENT, LGAS, NITOXID, FELTMARKR, SPPAINT, AIRDUSTER, OTHAEROS, or INHALOTH. This variable also was coded as 91 if all of the above variables were coded as 91. (AIRDUSTER, AMYLNIT, CLEFLU, ETHER, FELTMARKR, GAS, GLUE, INHALOTH, INREF, LGAS, NITOXID, OTHAEROS, SOLVENT,"
