Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),98,BLANK (NO ANSWER)
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),99,LEGITIMATE SKIP
HEREVER,EVER USED HEROIN,"(HE01, HEREF)",,
HEREVER,EVER USED HEROIN,"(HE01, HEREF)",1,Yes
HEREVER,EVER USED HEROIN,"(HE01, HEREF)",2,No
HEREVER,EVER USED HEROIN,"(HE01, HEREF)",85,BAD DATA Logically assigned
HEREVER,EVER USED HEROIN,"(HE01, HEREF)",94,DON'T KNOW
HEREVER,EVER USED HEROIN,"(HE01, HEREF)",97,REFUSED
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),,
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),RANGE,2 - 63
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),985,BAD DATA Logically assigned
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),991,NEVER USED HEROIN
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),994,DON'T KNOW
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),997,REFUSED
HERAGE,AGE WHEN FIRST USED HEROIN,(HE02),998,BLANK (NO ANSWER)
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",,
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",RANGE,2020 - 2022
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9985,BAD DATA Logically assigned
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9989,LEGITIMATE SKIP Logically assigned
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9991,NEVER USED HEROIN
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9994,DON'T KNOW
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9997,REFUSED
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9998,BLANK (NO ANSWER)
HERYFU,YEAR OF FIRST HEROIN USE - RECODE,"(HE03A, HE03B, HE03C)",9999,LEGITIMATE SKIP
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",,
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",1,January
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",2,February
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",4,April
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",6,June
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",7,July
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",8,August
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",9,September
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",10,October
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",11,November
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",12,December
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",85,BAD DATA Logically assigned
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",89,LEGITIMATE SKIP Logically assigned
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",91,NEVER USED HEROIN
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",94,DON'T KNOW
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",97,REFUSED
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",98,BLANK (NO ANSWER)
HERMFU,MONTH OF FIRST HEROIN USE - RECODE,"(HE03C, HE03D)",99,LEGITIMATE SKIP
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",,
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",1,Within the past 30 days
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",2,More than 30 days ago but within the past 12 mos
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",3,More than 12 months ago
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",8,Used at some point in the past 12 mos LOG ASSN
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",9,Used at some point in the lifetime LOG ASSN
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",85,BAD DATA Logically assigned
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",91,NEVER USED HEROIN
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",97,REFUSED
HERREC,TIME SINCE LAST USED HEROIN,"(HELAST3, HERECDK, HERECRE)",98,BLANK (NO ANSWER)
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),,
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),RANGE,1 - 365
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),985,BAD DATA Logically assigned
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),991,NEVER USED HEROIN
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),993,DID NOT USE HEROIN IN THE PAST 12 MOS
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),994,DON'T KNOW
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),997,REFUSED
HERYRTOT,TOTAL # OF DAYS USED HEROIN IN PAST 12 MONTHS,(TOTHERO),998,BLANK (NO ANSWER)
HRTOTFG,TRIMMING INDICATOR FOR HERYRTOT,(TOTHERO),,
HRTOTFG,TRIMMING INDICATOR FOR HERYRTOT,(TOTHERO),2,Trimmed relative to the 30-day freq
HRTOTFG,TRIMMING INDICATOR FOR HERYRTOT,(TOTHERO),98,BLANK (NO ANSWER)
HRFQFLG,TRIMMED HERYRTOT IF R USED < 12 MOS,(TOTHERO),,
HRFQFLG,TRIMMED HERYRTOT IF R USED < 12 MOS,(TOTHERO),1,Trimmed to be consistent with mo/yr of 1st use
HRFQFLG,TRIMMED HERYRTOT IF R USED < 12 MOS,(TOTHERO),98,BLANK (NO ANSWER)
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),,
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),1,Prefer to answer in days per week
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),2,Prefer to answer in days per month
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),3,Prefer to answer in days per year
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),85,BAD DATA Logically assigned
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),91,NEVER USED HEROIN
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),93,DID NOT USE HEROIN IN THE PAST 12 MOS
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),97,REFUSED
HRBSTWAY,EASIEST WAY TO TELL US # DAYS USED HEROIN,(HEFRAME3),98,BLANK (NO ANSWER)
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),,
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),RANGE,1 - 365
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),985,BAD DATA Logically assigned
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),991,NEVER USED HEROIN
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),993,DID NOT USE HEROIN IN THE PAST 12 MOS
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),997,REFUSED
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),998,BLANK (NO ANSWER)
HRDAYPYR,# DAYS USED HEROIN PAST 12 MONTHS,(HEYRAVE),999,LEGITIMATE SKIP
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),,
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),RANGE,1 - 30
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),85,BAD DATA Logically assigned
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),91,NEVER USED HEROIN
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),93,DID NOT USE HEROIN IN THE PAST 12 MOS
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),97,REFUSED
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),98,BLANK (NO ANSWER)
HRDAYPMO,# DAYS PER MONTH USED HEROIN PAST 12 MONTHS,(HEMONAVE),99,LEGITIMATE SKIP
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),,
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),RANGE,1 - 7
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),85,BAD DATA Logically assigned
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),91,NEVER USED HEROIN
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),93,DID NOT USE HEROIN IN THE PAST 12 MOS
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),94,DON'T KNOW
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),97,REFUSED
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),98,BLANK (NO ANSWER)
HRDAYPWK,# DAYS PER WEEK USED HEROIN PAST 12 MONTHS,(HEWKAVE),99,LEGITIMATE SKIP
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),,
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),RANGE,1 - 30
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),85,BAD DATA Logically assigned
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),91,NEVER USED HEROIN
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),93,DID NOT USE HEROIN IN THE PAST 30 DAYS
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),94,DON'T KNOW
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),97,REFUSED
HER30USE,# DAYS USED HEROIN PAST 30 DAYS,(HE06),98,BLANK (NO ANSWER)
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),,
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),1,1 or 2 days
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),91,NEVER USED HEROIN
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),93,DID NOT USE HEROIN IN THE PAST 30 DAYS
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),97,REFUSED
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),98,BLANK (NO ANSWER)
HR30EST,BEST EST. # DAYS USED HEROIN PAST 30 DAYS,(HE06DKRE),99,LEGITIMATE SKIP
A,,,,
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",,
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",1,Yes
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",2,No
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",3,Yes LOGICALLY ASSIGNED
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",91,NEVER USED HALLUCINOGENS
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",94,DON'T KNOW
LSD,"EVER USED LSD (""ACID"")","(LS01A, LSREF1)",97,REFUSED
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)","(LS01B, LSREF2)",,
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)","(LS01B, LSREF2)",1,Yes
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)","(LS01B, LSREF2)",2,No
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)","(LS01B, LSREF2)",91,NEVER USED HALLUCINOGENS
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)","(LS01B, LSREF2)",94,DON'T KNOW
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)","(LS01B, LSREF2)",97,REFUSED
PEYOTE,EVER USED PEYOTE,(LS01C),,
PEYOTE,EVER USED PEYOTE,(LS01C),1,Yes
PEYOTE,EVER USED PEYOTE,(LS01C),2,No
PEYOTE,EVER USED PEYOTE,(LS01C),91,NEVER USED HALLUCINOGENS
PEYOTE,EVER USED PEYOTE,(LS01C),94,DON'T KNOW
PEYOTE,EVER USED PEYOTE,(LS01C),97,REFUSED
MESC,EVER USED MESCALINE,(LS01D),,
MESC,EVER USED MESCALINE,(LS01D),1,Yes
MESC,EVER USED MESCALINE,(LS01D),2,No
MESC,EVER USED MESCALINE,(LS01D),91,NEVER USED HALLUCINOGENS
MESC,EVER USED MESCALINE,(LS01D),94,DON'T KNOW
MESC,EVER USED MESCALINE,(LS01D),97,REFUSED
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),,
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),1,Yes
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),2,No
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),3,Yes LOGICALLY ASSIGNED
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),91,NEVER USED HALLUCINOGENS
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),94,DON'T KNOW
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS),(LS01E),97,REFUSED
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",,
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",1,Yes
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",2,No
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",3,Yes LOGICALLY ASSIGNED
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",91,NEVER USED HALLUCINOGENS
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",94,DON'T KNOW
ECSTMOLLY,EVER USED 'ECSTASY' OR 'MOLLY' (MDMA),"(LS01F, LSREF3)",97,REFUSED
KETMINESK,EVER USED KETAMINE,(LS01I),,
KETMINESK,EVER USED KETAMINE,(LS01I),1,Yes
KETMINESK,EVER USED KETAMINE,(LS01I),2,No
KETMINESK,EVER USED KETAMINE,(LS01I),91,NEVER USED KETAMINE
KETMINESK,EVER USED KETAMINE,(LS01I),94,DON'T KNOW
KETMINESK,EVER USED KETAMINE,(LS01I),97,REFUSED
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),,
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),1,Yes
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),2,No
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),3,Yes LOGICALLY ASSIGNED
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),91,"NEVER USED DMT, AMT, FOXY"
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),94,DON'T KNOW
DMTAMTFXY,"EVER USED DMT, AMT, FOXY",(LS01J),97,REFUSED
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),,
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),1,Yes
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),2,No
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),3,Yes LOGICALLY ASSIGNED
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),91,NEVER USED SALVIA DIVINORUM
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),94,DON'T KNOW
SALVIADIV,EVER USED SALVIA DIVINORUM,(LS01K),97,REFUSED
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),,
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),1,Yes
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),2,No
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),5,Yes (specific hallucinogen unknown) LOG ASSN
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),91,NEVER USED HALLUCINOGENS
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),94,DON'T KNOW
HALLUCOTH,EVER USED OTHER HALLUCINOGEN,(LS01H),97,REFUSED
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),,
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),116,"Methaqualone, Sopor, Quaalude"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),120,"Downers; OTHER Sedative, NOT OTHERWISE SPECIFIED"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),145,Red devil(s)
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),174,Ambien
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),209,Xanax
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),322,"Methamphetamine (""ice"" or ""crank""), Meth"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),339,"Amphetamines, otherwise unspecified"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),351,"Cathinone, cat, khat, Q'at"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),355,"Crystal meth, crystal methamphetamine"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),415,Codeine pills
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),417,Morphine
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),420,"OTHER Pain Reliever, NOT OTHERWISE SPECIFIED"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),423,Percocet
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),501,Gasoline or lighter fluids
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),503,Other aerosol sprays
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),504,"Shoeshine liquid, glue, or toluene"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),507,"Halothane, ether, or other anesthetics; chloroform"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),508,"Nitrous oxide, ""whippits,"" dentist gas"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),510,"OTHER Inhalant, NOT OTHERWISE SPECIFIED"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),520,"Old paint, paint"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),592,"Computer air duster, computer cleaner, dust-off"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),601,"LSD (""acid"")"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),603,Mescaline
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),604,"Psilocybin (mushrooms), sclerotia, shrooms"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),605,"PCP (""angel dust,"" phencyclidine)"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),606,"""Ecstasy"" (MDMA), X-TC, ""X"""
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),607,"OTHER Hallucinogen, NOT OTHERWISE SPECIFIED"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),609,Jimson weed
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),612,"Happy stick, sherm, sherman, shermstick"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),614,"MDA, Methylenedioxy amphetamine"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),616,"DET, Dimethyltryptamine, DMT"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),617,"Morning glory seeds, morning glory tendrils, ricea"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),622,"Microdot(s), green microdot, purple microdot"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),624,"Orange sunshine, sunshine, yellow sunshine"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),627,"Hawaiian wood rose, Hawaiian Woodrow seeds"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),639,"Nutmeg, Mace"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),648,Designer drugs
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),650,"Datura stramonium, daytura, thorn apple"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),660,"Bufotenin, toad, toad licking"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),679,Hell bells
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),681,Lovely
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),683,Yage
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),695,"Angel's trumpet, floripondio"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),698,"2C-B, Bromo mescaline, Nexus"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),701,"OTHER Opiates, NOT OTHERWISE SPECIFIED"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),703,"Opium, otherwise unspecified"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),803,"Marijuana, MarrJane, Mary Jane, MJ, pot, weed"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),804,Hashish
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),806,"Crack, rock"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),807,"Alcohol, beer, ethanol, EtOH, pink champagne"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),829,Robitussin DM <OTC>
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),843,"Cold medicine, cold tablets <OTC>"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),847,"GHB, NSC, gamma hydroxybutyrate"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),852,"Formaldehyde, wak, whack (embalming fluid)"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),883,Dextromethorphan hydrobromide <OTC>
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),1001,"Benadryl, Diphenhydramine <OTC>"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),2509,Cyclobenzaprine
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),2512,Hydroxyzine
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),3052,"Speed, otherwise unspecified"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),3119,"MDPV, Methylenedioxypyrovalerone"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),3132,"4-FA, 4-Fluoroamphetamine"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),5167,Cinnamon
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6005,"Sassafras, sassafras tea"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6022,"Tequila worm, agave worm"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6029,DXM
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6043,"Diviner's sage, Salvia divinorum"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6044,"Gel caps, gel tabs"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6056,Wet
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6061,5-MeO-DMT
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6062,"Madderwort, wormwood"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6071,"Sinicuichi, sun opener"
HALLUCOT1,OTHER HALLUCINOGEN - SPECIFY 1,(LS01SC1),6074,LSA
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),,
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),209,Xanax
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),223,Methocarbamol
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),322,"Methamphetamine (""ice"" or ""crank""), Meth"
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),339,"Amphetamines, otherwise unspecified"
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),348,Crystal
HALLUCOT2,OTHER HALLUCINOGEN - SPECIFY 2,(LS01SC2),374,Christmas tree(s)
