Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,
CABINGFLG,ANY REPORT OF 4+ OR 5+ DRINKS FROM ALCOHOL MODULE,,85,BAD DATA Logically assigned,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),1,Yes,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),2,No,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),3,Yes LOGICALLY ASSIGNED,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),5,Yes LOGICALLY ASSIGNED (from skip pattern),
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),85,BAD DATA Logically assigned,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),91,NEVER USED ALCOHOL,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),94,DON'T KNOW,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),97,REFUSED,
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,(CA10),98,BLANK (NO ANSWER),
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),RANGE,Jan-84,
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),985,BAD DATA Logically assigned,
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),991,NEVER USED ALCOHOL,
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),994,DON'T KNOW,
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),997,REFUSED,
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),998,BLANK (NO ANSWER),
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,(CA11),999,LEGITIMATE SKIP,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",RANGE,2020 - 2022,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9985,BAD DATA Logically assigned,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9989,LEGITIMATE SKIP Logically assigned,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9991,NEVER USED ALCOHOL,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9994,DON'T KNOW,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9997,REFUSED,
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9998,BLANK (NO ANSWER),
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,"(CA11A, CA11B, CA11C)",9999,LEGITIMATE SKIP,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",1,January,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",2,February,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",3,March,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",4,April,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",5,May,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",6,June,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",7,July,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",8,August,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",9,September,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",10,October,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",11,November,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",12,December,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",85,BAD DATA Logically assigned,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",89,LEGITIMATE SKIP Logically assigned,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",91,NEVER USED ALCOHOL,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",94,DON'T KNOW,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",97,REFUSED,
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",98,BLANK (NO ANSWER),
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,"(CA11C, CA11D)",99,LEGITIMATE SKIP,
EIBINGAGE,EDITING INDICATOR FOR CABINGAGE,"(CA11C, CA11D)",1,Questionnaire data (or bad data/legitimate skip),
EIBINGAGE,EDITING INDICATOR FOR CABINGAGE,"(CA11C, CA11D)",2,Logically assigned data,
EIBINGYFU,EDITING INDICATOR FOR CABINGYFU,"(CA11C, CA11D)",1,Questionnaire data (or bad data/legitimate skip),
EIBINGYFU,EDITING INDICATOR FOR CABINGYFU,"(CA11C, CA11D)",2,Logically assigned data,
EIBINGMFU,EDITING INDICATOR FOR CABINGMFU,"(CA11C, CA11D)",1,Questionnaire data (or bad data/legitimate skip),
EIBINGMFU,EDITING INDICATOR FOR CABINGMFU,"(CA11C, CA11D)",2,Logically assigned data,
UADPEOP,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,(CADRPEOP),.,Unknown (Otherwise),
UADPEOP,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,(CADRPEOP),1,Drank Alone (CADRPEOP,
UADPEOP,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,(CADRPEOP),2,Drank with One Other Person (CADRPEOP,
UADPEOP,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,(CADRPEOP),3,Drank with More Than One Person (CADRPEOP,
UADPEOP,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,(CADRPEOP),4,No Past Mon Alc/Aged 21+ (CADRPEOP,
UADCAR,RC-MOST RECENT ALCOHOL USE IN A CAR,(CADRCAR),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADCAR,RC-MOST RECENT ALCOHOL USE IN A CAR,(CADRCAR),1,Yes (CADRCAR,
UADCAR,RC-MOST RECENT ALCOHOL USE IN A CAR,(CADRCAR),2,No (CADRCAR,
UADHOME,RC-MOST RECENT ALCOHOL USE AT HOME,(CADRHOME),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADHOME,RC-MOST RECENT ALCOHOL USE AT HOME,(CADRHOME),1,Yes (CADRHOME,
UADHOME,RC-MOST RECENT ALCOHOL USE AT HOME,(CADRHOME),2,No (CADRHOME,
UADOTHM,RC-MOST RECENT ALCOHOL USE AT SOMEONE ELSE'S HOME,(CADROTHM),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADOTHM,RC-MOST RECENT ALCOHOL USE AT SOMEONE ELSE'S HOME,(CADROTHM),1,Yes (CADROTHM,
UADOTHM,RC-MOST RECENT ALCOHOL USE AT SOMEONE ELSE'S HOME,(CADROTHM),2,No (CADROTHM,
UADPUBL,"RC-MOST RECENT ALCOHOL USE AT A PARK, BEACH, OR LOT",(CADRPUBL),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADPUBL,"RC-MOST RECENT ALCOHOL USE AT A PARK, BEACH, OR LOT",(CADRPUBL),1,Yes (CADRPUBL,
UADPUBL,"RC-MOST RECENT ALCOHOL USE AT A PARK, BEACH, OR LOT",(CADRPUBL),2,No (CADRPUBL,
UADBAR,"RC-MOST RECENT ALCOHOL USE AT RESTAURANT, BAR, OR CLUB",(CADRBAR),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADBAR,"RC-MOST RECENT ALCOHOL USE AT RESTAURANT, BAR, OR CLUB",(CADRBAR),1,Yes (CADRBAR,
UADBAR,"RC-MOST RECENT ALCOHOL USE AT RESTAURANT, BAR, OR CLUB",(CADRBAR),2,No (CADRBAR,
UADEVNT,RC-MOST RECENT ALCOHOL USE AT CONCERT OR SPORTS GAME,(CADREVNT),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADEVNT,RC-MOST RECENT ALCOHOL USE AT CONCERT OR SPORTS GAME,(CADREVNT),1,Yes (CADREVNT,
UADEVNT,RC-MOST RECENT ALCOHOL USE AT CONCERT OR SPORTS GAME,(CADREVNT),2,No (CADREVNT,
UADSCHL,RC-MOST RECENT ALCOHOL USE AT SCHOOL,(CADRSCHL),.,Unknown/No PM Use/Aged 21+ (Otherwise),
UADSCHL,RC-MOST RECENT ALCOHOL USE AT SCHOOL,(CADRSCHL),1,Yes (CADRSCHL,
UADSCHL,RC-MOST RECENT ALCOHOL USE AT SCHOOL,(CADRSCHL),2,No (CADRSCHL,
UADROTH,RC-MOST RECENT ALCOHOL USE AT SOME OTHER PLACE,"(CADROTH, CADROTS2)",.,Unknown/No PM Use/Aged 21+ (See comment above),
UADROTH,RC-MOST RECENT ALCOHOL USE AT SOME OTHER PLACE,"(CADROTH, CADROTS2)",1,Yes (CADROTH,
UADROTH,RC-MOST RECENT ALCOHOL USE AT SOME OTHER PLACE,"(CADROTH, CADROTS2)",2,No (See comment above),
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),.,Unknown (CADROTS2,
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),1,"Party, Wedding, or Celebration (CADROTS2",
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),2,Outside; Location Not Specified (CADROTS2,
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),3,"Hotel, Motel, or Resort (CADROTS2",
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),4,"Camping, Hunting, or Fishing (CADROTS2",
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),5,"Cabin, Cottage, Vacation Home, Etc. (CADROTS2",
UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,(CADROTS2),7,"Other Location, Nonuser, or Aged 21+ (Otherwise)",
UADPAID,RC-UNDERAGE DRINKER PAID FOR MOST RECENT ALCOHOL,(CABUYFRE),.,Unknown (Otherwise),
UADPAID,RC-UNDERAGE DRINKER PAID FOR MOST RECENT ALCOHOL,(CABUYFRE),1,Yes (CABUYFRE,
UADPAID,RC-UNDERAGE DRINKER PAID FOR MOST RECENT ALCOHOL,(CABUYFRE),2,No (CABUYFRE,
UADPAID,RC-UNDERAGE DRINKER PAID FOR MOST RECENT ALCOHOL,(CABUYFRE),3,No Past Mon Alc/Aged 21+ (CABUYFRE,
UADMONY,RC-UNDERAGE DRINKER PURCHASED MOST RECENT ALCOHOL,(CAGVMONY),.,Unknown (Otherwise),
UADMONY,RC-UNDERAGE DRINKER PURCHASED MOST RECENT ALCOHOL,(CAGVMONY),1,Bought Myself (CAGVMONY,
UADMONY,RC-UNDERAGE DRINKER PURCHASED MOST RECENT ALCOHOL,(CAGVMONY),2,Gave Money to Someone Else to Buy (CAGVMONY,
UADMONY,RC-UNDERAGE DRINKER PURCHASED MOST RECENT ALCOHOL,(CAGVMONY),3,No Pst Mon Alc/Aged 21+/No Pay (See comment above),
UADBWHO,RC-HOW UNDERAGE DRINKER PURCHASED MOST RECNT ALCOHOL,(CABUYWHO),.,Unknown (Otherwise),
UADBWHO,RC-HOW UNDERAGE DRINKER PURCHASED MOST RECNT ALCOHOL,(CABUYWHO),1,Bought at a Store/Restaurant/Etc. (CABUYWHO,
UADBWHO,RC-HOW UNDERAGE DRINKER PURCHASED MOST RECNT ALCOHOL,(CABUYWHO),2,Bought From Another Person (CABUYWHO,
UADBWHO,RC-HOW UNDERAGE DRINKER PURCHASED MOST RECNT ALCOHOL,(CABUYWHO),3,"No PM Alc/Aged 21+/No Pay, Buy (See comment above)",
UADPLACE,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,(CABPLACE),.,Unknown (Otherwise),
UADPLACE,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,(CABPLACE),1,Bought at Liquor/Grocery Store (CABPLACE,
UADPLACE,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,(CABPLACE),2,Bought at a Restaurant/Bar/Club (CABPLACE,
UADPLACE,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,(CABPLACE),3,Bought at a Concert/Sports/Event (CABPLACE,
UADPLACE,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,(CABPLACE),4,"No PM Alc/21+/Prsn/No Pay, Buy (See comment above)",
UADBUND,RC-AGE PERSON WHO PURCHASED ALC FOR UNDERAGE DRINKER,(CABUNDAG),.,Unknown (Otherwise),
UADBUND,RC-AGE PERSON WHO PURCHASED ALC FOR UNDERAGE DRINKER,(CABUNDAG),1,Under Age 21 (CABUNDAG,
UADBUND,RC-AGE PERSON WHO PURCHASED ALC FOR UNDERAGE DRINKER,(CABUNDAG),2,Aged 21 or Older (CABUNDAG,
UADBUND,RC-AGE PERSON WHO PURCHASED ALC FOR UNDERAGE DRINKER,(CABUNDAG),3,"No PM Alc/21+/Plce/No Pay, Buy (See comment above)",
UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,(CAGVWHO),.,Unknown (Otherwise),
UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,(CAGVWHO),1,Parent or Guardian (CAGVWHO,
UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,(CAGVWHO),2,Another Family Member Aged 21 or Older (CAGVWHO,
UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,(CAGVWHO),3,Someone Not Related Aged 21 or Older (CAGVWHO,
UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,(CAGVWHO),4,Someone Under the Age of 21 (CAGVWHO,
UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,(CAGVWHO),5,No PM Alc/21+/No Pay/Buy Self (See comment above),
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",.,Unknown (See comment above),
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",1,Parent or Guardian (CAFREWHO,
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",2,"Another Family Member, 21 or Older (CAFREWHO",
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",3,"Someone Not Related, 21 or Older (CAFREWHO",
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",4,Someone Under the Age of 21 (CAFREWHO,
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",5,Took From My Home (CAFREWHO,
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",6,Took From Someone Else's Home (CAFREWHO,
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",7,Some Other Way (CAFREWHO,
UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,"(CAFRESP2, CAFREWHO)",8,No PM Alc/Aged 21+/Pay (See comment above),
UADFRD,"RC-MOST RECENT ALCOHOL FROM FRIEND, UNSPEC AGE/METHOD","(CAFRESP2, CAFREWHO)",.,Unknown (See comment above),
UADFRD,"RC-MOST RECENT ALCOHOL FROM FRIEND, UNSPEC AGE/METHOD","(CAFRESP2, CAFREWHO)",1,Got From a Friend (CAFREWHO,
UADFRD,"RC-MOST RECENT ALCOHOL FROM FRIEND, UNSPEC AGE/METHOD","(CAFRESP2, CAFREWHO)",2,Not From a Friend (See comment above),
UADFRD,"RC-MOST RECENT ALCOHOL FROM FRIEND, UNSPEC AGE/METHOD","(CAFRESP2, CAFREWHO)",3,No PM Alc/Aged 21+/Pay (See comment above),
CADRKMARJ2,RC-USED MARIJUANA WITH LAST ALCOHOL USE,(CADRKMARJ),.,Unknown (Otherwise),
CADRKMARJ2,RC-USED MARIJUANA WITH LAST ALCOHOL USE,(CADRKMARJ),0,No (CADRKMARJ,
CADRKMARJ2,RC-USED MARIJUANA WITH LAST ALCOHOL USE,(CADRKMARJ),1,Yes (CADRKMARJ,
CADRKCOCN2,RC-USED COCAINE WITH LAST ALCOHOL USE,(CADRKCOCN),.,Unknown (Otherwise),
CADRKCOCN2,RC-USED COCAINE WITH LAST ALCOHOL USE,(CADRKCOCN),0,No (CADRKCOCN,
CADRKCOCN2,RC-USED COCAINE WITH LAST ALCOHOL USE,(CADRKCOCN),1,Yes (CADRKCOCN,
CADRKHERN2,RC-USED HEROIN WITH LAST ALCOHOL USE,(CADRKHERN),.,Unknown (Otherwise),
CADRKHERN2,RC-USED HEROIN WITH LAST ALCOHOL USE,(CADRKHERN),0,No (CADRKHERN,
CADRKHERN2,RC-USED HEROIN WITH LAST ALCOHOL USE,(CADRKHERN),1,Yes (CADRKHERN,
CADRKHALL2,RC-USED HALLUCINOGENS WITH LAST ALCOHOL USE,(CADRKHALL),.,Unknown (Otherwise),
CADRKHALL2,RC-USED HALLUCINOGENS WITH LAST ALCOHOL USE,(CADRKHALL),0,No (CADRKHALL,
CADRKHALL2,RC-USED HALLUCINOGENS WITH LAST ALCOHOL USE,(CADRKHALL),1,Yes (CADRKHALL,
CADRKINHL2,RC-USED INHALANTS WITH LAST ALCOHOL USE,(CADRKINHL),.,Unknown (Otherwise),
CADRKINHL2,RC-USED INHALANTS WITH LAST ALCOHOL USE,(CADRKINHL),0,No (CADRKINHL,
CADRKINHL2,RC-USED INHALANTS WITH LAST ALCOHOL USE,(CADRKINHL),1,Yes (CADRKINHL,
CADRKMETH2,RC-USED METHAMPHETAMINE WITH LAST ALCOHOL USE,(CADRKMETH),.,Unknown (Otherwise),
CADRKMETH2,RC-USED METHAMPHETAMINE WITH LAST ALCOHOL USE,(CADRKMETH),0,No (CADRKMETH,
CADRKMETH2,RC-USED METHAMPHETAMINE WITH LAST ALCOHOL USE,(CADRKMETH),1,Yes (CADRKMETH,
CBDHMPEVR,EVER USED CBD OR HEMP PRODUCTS,(CBDLIF),1,Yes,
CBDHMPEVR,EVER USED CBD OR HEMP PRODUCTS,(CBDLIF),2,No,
CBDHMPEVR,EVER USED CBD OR HEMP PRODUCTS,(CBDLIF),94,DON'T KNOW,
CBDHMPEVR,EVER USED CBD OR HEMP PRODUCTS,(CBDLIF),97,REFUSED,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),1,Within the past 30 days,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),2,More than 30 days ago but within the past 12 mos,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),3,More than 12 months ago but within the past 3 yrs,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),4,More than 3 years ago,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),9,Used at some point in the lifetime LOG ASSN,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),91,NEVER USED CBD OR HEMP PRODUCT,
CBDHMPREC,TIME SINCE LAST USED CBD OR HEMP PRODUCT,(CBDLAST),98,BLANK (NO ANSWER),
MJEVER,EVER USED MARIJUANA/CANNABIS,"(MJ01, MJREF)",1,Yes,
MJEVER,EVER USED MARIJUANA/CANNABIS,"(MJ01, MJREF)",2,No,
MJEVER,EVER USED MARIJUANA/CANNABIS,"(MJ01, MJREF)",94,DON'T KNOW,
MJEVER,EVER USED MARIJUANA/CANNABIS,"(MJ01, MJREF)",97,REFUSED,
MJAGE,AGE WHEN FIRST USED MARIJUANA/CANNABIS,(MJ02),RANGE,Jan-83,
MJAGE,AGE WHEN FIRST USED MARIJUANA/CANNABIS,(MJ02),985,BAD DATA Logically assigned,
MJAGE,AGE WHEN FIRST USED MARIJUANA/CANNABIS,(MJ02),991,NEVER USED MARIJUANA,
MJAGE,AGE WHEN FIRST USED MARIJUANA/CANNABIS,(MJ02),994,DON'T KNOW,
MJAGE,AGE WHEN FIRST USED MARIJUANA/CANNABIS,(MJ02),997,REFUSED,
MJAGE,AGE WHEN FIRST USED MARIJUANA/CANNABIS,(MJ02),998,BLANK (NO ANSWER),
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",RANGE,2020 - 2022,
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9985,BAD DATA Logically assigned,
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9989,LEGITIMATE SKIP Logically assigned,
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9991,NEVER USED MARIJUANA,
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9994,DON'T KNOW,
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9997,REFUSED,
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9998,BLANK (NO ANSWER),
MJYFU,YEAR OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03A, MJ03B, MJ03C)",9999,LEGITIMATE SKIP,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",1,January,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",2,February,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",3,March,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",4,April,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",5,May,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",6,June,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",7,July,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",8,August,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",9,September,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",10,October,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",11,November,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",12,December,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",85,BAD DATA Logically assigned,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",89,LEGITIMATE SKIP Logically assigned,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",91,NEVER USED MARIJUANA,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",94,DON'T KNOW,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",97,REFUSED,
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",98,BLANK (NO ANSWER),
MJMFU,MONTH OF FIRST MARIJUANA/CANNABIS USE - RECODE,"(MJ03C, MJ03D)",99,LEGITIMATE SKIP,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",1,Within the past 30 days,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",2,More than 30 days ago but within the past 12 mos,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",3,More than 12 months ago,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",8,Used at some point in the past 12 mos LOG ASSN,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",9,Used at some point in the lifetime LOG ASSN,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",11,Used in the past 30 days LOGICALLY ASSIGNED,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",91,NEVER USED MARIJUANA,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",97,REFUSED,
MJREC,TIME SINCE LAST USED MARIJUANA/CANNABIS,"(MJLAST3, MJRECDK, MJRECRE)",98,BLANK (NO ANSWER),
MJYRTOT,TOTAL # OF DAYS USED MARIJUANA/CANNABIS IN PAST 12 MOS,(TOTMJ),RANGE,1 - 365,
MJYRTOT,TOTAL # OF DAYS USED MARIJUANA/CANNABIS IN PAST 12 MOS,(TOTMJ),985,BAD DATA Logically assigned,
MJYRTOT,TOTAL # OF DAYS USED MARIJUANA/CANNABIS IN PAST 12 MOS,(TOTMJ),991,NEVER USED MARIJUANA,
