Question_Code,Short_Description,Long_Description,Answer_code,Answer_meaning
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",9,Hallucinogens
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",10,Methamphetamine/speed
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",11,Other amphetamines
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",12,Other stimulants
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",13,Benzodiazepines
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",14,Other tranquilizers
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",15,Barbiturates
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",16,Other sedatives or hypnotics
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",17,Inhalants
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",18,Over-the-counter medications
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",19,Other drugs
SUB1,Substance use at admission (primary),"This field identifies the client's primary substance use at admission. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",-9,Missing/unknown/not collected/invalid
SUB1_D,Substance use at discharge (primary),"This field identifies the client's primary substance use at discharge. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",2,Alcohol
SUB1_D,Substance use at discharge (primary),"This field identifies the client's primary substance use at discharge. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",3,Cocaine/crack
SUB1_D,Substance use at discharge (primary),"This field identifies the client's primary substance use at discharge. (1) None. (2) Alcohol. (3) Cocaine/crack. (4) Marijuana/hashish: Includes THC and any other cannabis sativa preparations. (5) Heroin. (6) Non-prescription methadone. (7) Other opiates and synthetics: Includes buprenorphine, butorphanol, codeine, hydrocodone, hydromorphone, meperidine, morphine, opium, oxycodone, pentazocine, propoxyphene, tramadol, and other narcotic analgesics, opiates, or synthetics. (8) PCP: Phencyclidine. (9) Hallucinogens: Includes LSD, DMT, mescaline, peyote, psilocybin, STP, and other hallucinogens. (10) Methamphetamine/speed. (11) Other amphetamines: Includes amphetamines, MDMA, ‘bath salts’, phenmetrazine, and other amines and related drugs. (12) Other stimulants: Includes methylphenidate and any other stimulants. (13) Benzodiazepines: Includes alprazolam, chlordiazepoxide, clonazepam, clorazepate, diazepam, flunitrazepam, flurazepam, halazepam, lorazepam, oxazepam, prazepam, temazepam, triazolam, and other unspecified benzodiazepines. (14) Other tranquilizers: Includes meprobamate, and other non-benzodiazepine tranquilizers. (15) Barbiturates: Includes amobarbital, pentobarbital, phenobarbital, secobarbital, etc. (16) Other sedatives or hypnotics: Includes chloral hydrate, ethchlorvynol, glutethimide, methaqualone, and other non-barbiturate sedatives and hypnotics. (17) Inhalants: Includes aerosols; chloroform, ether, nitrous oxide and other anesthetics; gasoline; glue; nitrites; paint thinner and other solvents; and other inappropriately inhaled products. (18) Over-the-counter medications: Includes aspirin, dextromethorphan and other cough syrups, diphenhydramine and other anti-histamines, ephedrine, sleep aids, and any other legally obtained, non-prescription medication. (19) Other drugs: Includes diphenylhydantoin/phenytoin, GHB/GBL, ketamine, synthetic cannabinoid 'Spice', carisoprodol (Soma), and other drugs.",4,Marijuana/hashish
