Question_Code,Description,Answer_Code,Answer_Meaning
V0640,V0640 - CJF4_5: Goods/property obtained- Household or Personal Property: Upcoded version,-9,Response missing due to CAPI issue
V0640,V0640 - CJF4_5: Goods/property obtained- Household or Personal Property: Upcoded version,-8,Skipped
V0640,V0640 - CJF4_5: Goods/property obtained- Household or Personal Property: Upcoded version,-2,Refusal
V0640,V0640 - CJF4_5: Goods/property obtained- Household or Personal Property: Upcoded version,-1,Don't Know
V0640,V0640 - CJF4_5: Goods/property obtained- Household or Personal Property: Upcoded version,5,Household or Personal Property
V0640,V0640 - CJF4_5: Goods/property obtained- Household or Personal Property: Upcoded version,99,Missing
V0641,V0641 - CJF4_6: Goods/property obtained- Commercial Goods: Upcoded version,-9,Response missing due to CAPI issue
V0641,V0641 - CJF4_6: Goods/property obtained- Commercial Goods: Upcoded version,-8,Skipped
V0641,V0641 - CJF4_6: Goods/property obtained- Commercial Goods: Upcoded version,-2,Refusal
V0641,V0641 - CJF4_6: Goods/property obtained- Commercial Goods: Upcoded version,-1,Don't Know
V0641,V0641 - CJF4_6: Goods/property obtained- Commercial Goods: Upcoded version,6,Commercial Goods
V0641,V0641 - CJF4_6: Goods/property obtained- Commercial Goods: Upcoded version,99,Missing
V0642,V0642 - CJF4_7: Goods/property obtained- Firearms: Upcoded version,-9,Response missing due to CAPI issue
V0642,V0642 - CJF4_7: Goods/property obtained- Firearms: Upcoded version,-8,Skipped
V0642,V0642 - CJF4_7: Goods/property obtained- Firearms: Upcoded version,-2,Refusal
V0642,V0642 - CJF4_7: Goods/property obtained- Firearms: Upcoded version,-1,Don't Know
V0642,V0642 - CJF4_7: Goods/property obtained- Firearms: Upcoded version,7,Firearms
V0642,V0642 - CJF4_7: Goods/property obtained- Firearms: Upcoded version,99,Missing
V0643,V0643 - CJF4_8: Goods/property obtained- Drugs: Upcoded version,-9,Response missing due to CAPI issue
V0643,V0643 - CJF4_8: Goods/property obtained- Drugs: Upcoded version,-8,Skipped
V0643,V0643 - CJF4_8: Goods/property obtained- Drugs: Upcoded version,-2,Refusal
V0643,V0643 - CJF4_8: Goods/property obtained- Drugs: Upcoded version,-1,Don't Know
V0643,V0643 - CJF4_8: Goods/property obtained- Drugs: Upcoded version,8,Drugs
V0643,V0643 - CJF4_8: Goods/property obtained- Drugs: Upcoded version,99,Missing
V0644,V0644 - CJF4_9: Goods/property obtained- Other Property: Upcoded version,-9,Response missing due to CAPI issue
V0644,V0644 - CJF4_9: Goods/property obtained- Other Property: Upcoded version,-8,Skipped
V0644,V0644 - CJF4_9: Goods/property obtained- Other Property: Upcoded version,-2,Refusal
V0644,V0644 - CJF4_9: Goods/property obtained- Other Property: Upcoded version,-1,Don't Know
V0644,V0644 - CJF4_9: Goods/property obtained- Other Property: Upcoded version,9,Other Property
V0644,V0644 - CJF4_9: Goods/property obtained- Other Property: Upcoded version,99,Missing
V0645,V0645 - CJF4_10: Goods/property obtained- DK/REF: Upcoded version,-9,Response missing due to CAPI issue
V0645,V0645 - CJF4_10: Goods/property obtained- DK/REF: Upcoded version,-8,Skipped
V0645,V0645 - CJF4_10: Goods/property obtained- DK/REF: Upcoded version,7,Don't Know
V0645,V0645 - CJF4_10: Goods/property obtained- DK/REF: Upcoded version,8,Refusal
V0645,V0645 - CJF4_10: Goods/property obtained- DK/REF: Upcoded version,9,Blank
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,-9,Response missing due to CAPI issue
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,-8,Skipped
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,0,Not answered due to question skip
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,1,Contained at least one valid response entry
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,2,Missing in-universe
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,3,Recoded: Missing in-universe
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,7,Contained a don't know response
V0646,V0646 - CJF4_11: Goods/property obtained- Item Flag: Upcoded version,8,Refusal
V0647,V0647 - CJF4_1: Goods/property obtained- Purse or Wallet: Original,-9,Response missing due to CAPI issue
V0647,V0647 - CJF4_1: Goods/property obtained- Purse or Wallet: Original,-8,Skipped
V0647,V0647 - CJF4_1: Goods/property obtained- Purse or Wallet: Original,-2,Refusal
V0647,V0647 - CJF4_1: Goods/property obtained- Purse or Wallet: Original,-1,Don't Know
V0647,V0647 - CJF4_1: Goods/property obtained- Purse or Wallet: Original,1,Purse or Wallet
V0647,V0647 - CJF4_1: Goods/property obtained- Purse or Wallet: Original,99,Missing
V0648,V0648 - CJF4_2: Goods/property obtained- Credit Cards: Original,-9,Response missing due to CAPI issue
V0648,V0648 - CJF4_2: Goods/property obtained- Credit Cards: Original,-8,Skipped
V0648,V0648 - CJF4_2: Goods/property obtained- Credit Cards: Original,-2,Refusal
V0648,V0648 - CJF4_2: Goods/property obtained- Credit Cards: Original,-1,Don't Know
V0648,V0648 - CJF4_2: Goods/property obtained- Credit Cards: Original,2,Credit Cards
V0648,V0648 - CJF4_2: Goods/property obtained- Credit Cards: Original,99,Missing
V0649,V0649 - CJF4_3: Goods/property obtained- Motor Vehicle: Original,-9,Response missing due to CAPI issue
V0649,V0649 - CJF4_3: Goods/property obtained- Motor Vehicle: Original,-8,Skipped
V0649,V0649 - CJF4_3: Goods/property obtained- Motor Vehicle: Original,-2,Refusal
V0649,V0649 - CJF4_3: Goods/property obtained- Motor Vehicle: Original,-1,Don't Know
V0649,V0649 - CJF4_3: Goods/property obtained- Motor Vehicle: Original,3,Motor Vehicle
V0649,V0649 - CJF4_3: Goods/property obtained- Motor Vehicle: Original,99,Missing
V0650,V0650 - CJF4_4: Goods/property obtained- Motor Vehicle Parts: Original,-9,Response missing due to CAPI issue
V0650,V0650 - CJF4_4: Goods/property obtained- Motor Vehicle Parts: Original,-8,Skipped
V0650,V0650 - CJF4_4: Goods/property obtained- Motor Vehicle Parts: Original,-2,Refusal
V0650,V0650 - CJF4_4: Goods/property obtained- Motor Vehicle Parts: Original,-1,Don't Know
V0650,V0650 - CJF4_4: Goods/property obtained- Motor Vehicle Parts: Original,4,Motor Vehicle Parts
V0650,V0650 - CJF4_4: Goods/property obtained- Motor Vehicle Parts: Original,99,Missing
V0651,V0651 - CJF4_5: Goods/property obtained- Household or Personal Property: Original,-9,Response missing due to CAPI issue
V0651,V0651 - CJF4_5: Goods/property obtained- Household or Personal Property: Original,-8,Skipped
V0651,V0651 - CJF4_5: Goods/property obtained- Household or Personal Property: Original,-2,Refusal
V0651,V0651 - CJF4_5: Goods/property obtained- Household or Personal Property: Original,-1,Don't Know
V0651,V0651 - CJF4_5: Goods/property obtained- Household or Personal Property: Original,5,Household or Personal Property
V0651,V0651 - CJF4_5: Goods/property obtained- Household or Personal Property: Original,99,Missing
V0652,V0652 - CJF4_6: Goods/property obtained- Commercial Goods: Original,-9,Response missing due to CAPI issue
V0652,V0652 - CJF4_6: Goods/property obtained- Commercial Goods: Original,-8,Skipped
V0652,V0652 - CJF4_6: Goods/property obtained- Commercial Goods: Original,-2,Refusal
V0652,V0652 - CJF4_6: Goods/property obtained- Commercial Goods: Original,-1,Don't Know
V0652,V0652 - CJF4_6: Goods/property obtained- Commercial Goods: Original,6,Commercial Goods
V0652,V0652 - CJF4_6: Goods/property obtained- Commercial Goods: Original,99,Missing
V0653,V0653 - CJF4_7: Goods/property obtained- Firearms: Original,-9,Response missing due to CAPI issue
V0653,V0653 - CJF4_7: Goods/property obtained- Firearms: Original,-8,Skipped
V0653,V0653 - CJF4_7: Goods/property obtained- Firearms: Original,-2,Refusal
V0653,V0653 - CJF4_7: Goods/property obtained- Firearms: Original,-1,Don't Know
V0653,V0653 - CJF4_7: Goods/property obtained- Firearms: Original,7,Firearms
V0653,V0653 - CJF4_7: Goods/property obtained- Firearms: Original,99,Missing
V0654,V0654 - CJF4_8: Goods/property obtained- Drugs: Original,-9,Response missing due to CAPI issue
V0654,V0654 - CJF4_8: Goods/property obtained- Drugs: Original,-8,Skipped
V0654,V0654 - CJF4_8: Goods/property obtained- Drugs: Original,-2,Refusal
V0654,V0654 - CJF4_8: Goods/property obtained- Drugs: Original,-1,Don't Know
V0654,V0654 - CJF4_8: Goods/property obtained- Drugs: Original,8,Drugs
V0654,V0654 - CJF4_8: Goods/property obtained- Drugs: Original,99,Missing
V0655,V0655 - CJF4_9: Goods/property obtained- Other Property: Original,-9,Response missing due to CAPI issue
V0655,V0655 - CJF4_9: Goods/property obtained- Other Property: Original,-8,Skipped
V0655,V0655 - CJF4_9: Goods/property obtained- Other Property: Original,-2,Refusal
V0655,V0655 - CJF4_9: Goods/property obtained- Other Property: Original,-1,Don't Know
V0655,V0655 - CJF4_9: Goods/property obtained- Other Property: Original,9,Other Property
V0655,V0655 - CJF4_9: Goods/property obtained- Other Property: Original,99,Missing
V0656,V0656 - CJF4_10: Goods/property obtained- DK/REF: Original,-9,Response missing due to CAPI issue
V0656,V0656 - CJF4_10: Goods/property obtained- DK/REF: Original,-8,Skipped
V0656,V0656 - CJF4_10: Goods/property obtained- DK/REF: Original,7,Don't Know
V0656,V0656 - CJF4_10: Goods/property obtained- DK/REF: Original,8,Refusal
V0656,V0656 - CJF4_10: Goods/property obtained- DK/REF: Original,9,Blank
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,-9,Response missing due to CAPI issue
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,-8,Skipped
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,0,Not answered due to question skip
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,1,Contained at least one valid response entry
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,2,Missing in-universe
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,7,Contained a don't know response
V0657,V0657 - CJF4_11: Goods/property obtained- Item Flag: Original,8,Refusal
V0658,V0658 - CJF5: Damage anyone's belongings?,-9,Response missing due to CAPI issue
V0658,V0658 - CJF5: Damage anyone's belongings?,-8,Skipped
V0658,V0658 - CJF5: Damage anyone's belongings?,-2,Refusal
V0658,V0658 - CJF5: Damage anyone's belongings?,-1,Don't Know
V0658,V0658 - CJF5: Damage anyone's belongings?,1,Yes
V0658,V0658 - CJF5: Damage anyone's belongings?,2,No
V0659,V0659 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Upcoded version,-9,Response missing due to CAPI issue
V0659,V0659 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Upcoded version,-8,Skipped
V0659,V0659 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Upcoded version,-2,Refusal
V0659,V0659 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Upcoded version,-1,Don't Know
V0659,V0659 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Upcoded version,1,Home or Apartment Building / Garage
V0659,V0659 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Upcoded version,99,Missing
V0660,V0660 - CJF6_2: Specify what was damaged- Motor Vehicle: Upcoded version,-9,Response missing due to CAPI issue
V0660,V0660 - CJF6_2: Specify what was damaged- Motor Vehicle: Upcoded version,-8,Skipped
V0660,V0660 - CJF6_2: Specify what was damaged- Motor Vehicle: Upcoded version,-2,Refusal
V0660,V0660 - CJF6_2: Specify what was damaged- Motor Vehicle: Upcoded version,-1,Don't Know
V0660,V0660 - CJF6_2: Specify what was damaged- Motor Vehicle: Upcoded version,2,Motor Vehicle
V0660,V0660 - CJF6_2: Specify what was damaged- Motor Vehicle: Upcoded version,99,Missing
V0661,V0661 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Upcoded version,-9,Response missing due to CAPI issue
V0661,V0661 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Upcoded version,-8,Skipped
V0661,V0661 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Upcoded version,-2,Refusal
V0661,V0661 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Upcoded version,-1,Don't Know
V0661,V0661 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Upcoded version,3,Personal Effects of Victim
V0661,V0661 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Upcoded version,99,Missing
V0662,V0662 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property:,-9,Response missing due to CAPI issue
V0662,V0662 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property:,-8,Skipped
V0662,V0662 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property:,-2,Refusal
V0662,V0662 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property:,-1,Don't Know
V0662,V0662 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property:,4,Government / Business / Public / Commercial Building or Property
V0662,V0662 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property:,99,Missing
V0663,V0663 - CJF6_5: Specify what was damaged- Other: Upcoded version,-9,Response missing due to CAPI issue
V0663,V0663 - CJF6_5: Specify what was damaged- Other: Upcoded version,-8,Skipped
V0663,V0663 - CJF6_5: Specify what was damaged- Other: Upcoded version,-2,Refusal
V0663,V0663 - CJF6_5: Specify what was damaged- Other: Upcoded version,-1,Don't Know
V0663,V0663 - CJF6_5: Specify what was damaged- Other: Upcoded version,5,Other
V0663,V0663 - CJF6_5: Specify what was damaged- Other: Upcoded version,99,Missing
V0664,V0664 - CJF6_6: Specify what was damaged- DK/REF: Upcoded version,-9,Response missing due to CAPI issue
V0664,V0664 - CJF6_6: Specify what was damaged- DK/REF: Upcoded version,-8,Skipped
V0664,V0664 - CJF6_6: Specify what was damaged- DK/REF: Upcoded version,7,Don't Know
V0664,V0664 - CJF6_6: Specify what was damaged- DK/REF: Upcoded version,8,Refusal
V0664,V0664 - CJF6_6: Specify what was damaged- DK/REF: Upcoded version,9,Blank
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,-9,Response missing due to CAPI issue
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,-8,Skipped
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,0,Not answered due to question skip
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,1,Contained at least one valid response entry
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,2,Missing in-universe
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,3,Recoded: Missing in-universe
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,7,Contained a don't know response
V0665,V0665 - CJF6_7: Specify what was damaged- Item Flag: Upcoded version,8,Refusal
V0666,V0666 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Original,-9,Response missing due to CAPI issue
V0666,V0666 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Original,-8,Skipped
V0666,V0666 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Original,-2,Refusal
V0666,V0666 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Original,-1,Don't Know
V0666,V0666 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Original,1,Home or Apartment Building / Garage
V0666,V0666 - CJF6_1: Specify what was damaged- Home or Apartment Building/Garage: Original,99,Missing
V0667,V0667 - CJF6_2: Specify what was damaged- Motor Vehicle: Original,-9,Response missing due to CAPI issue
V0667,V0667 - CJF6_2: Specify what was damaged- Motor Vehicle: Original,-8,Skipped
V0667,V0667 - CJF6_2: Specify what was damaged- Motor Vehicle: Original,-2,Refusal
V0667,V0667 - CJF6_2: Specify what was damaged- Motor Vehicle: Original,-1,Don't Know
V0667,V0667 - CJF6_2: Specify what was damaged- Motor Vehicle: Original,2,Motor Vehicle
V0667,V0667 - CJF6_2: Specify what was damaged- Motor Vehicle: Original,99,Missing
V0668,V0668 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Original,-9,Response missing due to CAPI issue
V0668,V0668 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Original,-8,Skipped
V0668,V0668 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Original,-2,Refusal
V0668,V0668 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Original,-1,Don't Know
V0668,V0668 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Original,3,Personal Effects of Victim
V0668,V0668 - CJF6_3: Specify what was damaged- Personal Effects of Victim: Original,99,Missing
V0669,V0669 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property: Original,-9,Response missing due to CAPI issue
V0669,V0669 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property: Original,-8,Skipped
V0669,V0669 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property: Original,-2,Refusal
V0669,V0669 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property: Original,-1,Don't Know
V0669,V0669 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property: Original,4,Government / Business / Public / Commercial Building or Property
V0669,V0669 - CJF6_4: Specify what was damaged- Government/Business/Public/Commercial Building or Property: Original,99,Missing
V0670,V0670 - CJF6_5: Specify what was damaged- Other: Original,-9,Response missing due to CAPI issue
V0670,V0670 - CJF6_5: Specify what was damaged- Other: Original,-8,Skipped
V0670,V0670 - CJF6_5: Specify what was damaged- Other: Original,-2,Refusal
V0670,V0670 - CJF6_5: Specify what was damaged- Other: Original,-1,Don't Know
V0670,V0670 - CJF6_5: Specify what was damaged- Other: Original,5,Other
V0670,V0670 - CJF6_5: Specify what was damaged- Other: Original,99,Missing
V0671,V0671 - CJF6_6: Specify what was damaged- DK/REF: Original,-9,Response missing due to CAPI issue
V0671,V0671 - CJF6_6: Specify what was damaged- DK/REF: Original,-8,Skipped
V0671,V0671 - CJF6_6: Specify what was damaged- DK/REF: Original,7,Don't Know
V0671,V0671 - CJF6_6: Specify what was damaged- DK/REF: Original,8,Refusal
V0671,V0671 - CJF6_6: Specify what was damaged- DK/REF: Original,9,Blank
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,-9,Response missing due to CAPI issue
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,-8,Skipped
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,0,Not answered due to question skip
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,1,Contained at least one valid response entry
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,2,Missing in-universe
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,7,Contained a don't know response
V0672,V0672 - CJF6_7: Specify what was damaged- Item Flag: Original,8,Refusal
V0673,V0673 - CJF7: Any access to goods in prior job before offense,-9,Response missing due to CAPI issue
V0673,V0673 - CJF7: Any access to goods in prior job before offense,-8,Skipped
V0673,V0673 - CJF7: Any access to goods in prior job before offense,-2,Refusal
V0673,V0673 - CJF7: Any access to goods in prior job before offense,-1,Don't Know
V0673,V0673 - CJF7: Any access to goods in prior job before offense,1,Yes
V0673,V0673 - CJF7: Any access to goods in prior job before offense,2,No
V0674,V0674 - CJF8: Ability to commit offense because of prior job?,-9,Response missing due to CAPI issue
V0674,V0674 - CJF8: Ability to commit offense because of prior job?,-8,Skipped
V0674,V0674 - CJF8: Ability to commit offense because of prior job?,-2,Refusal
V0674,V0674 - CJF8: Ability to commit offense because of prior job?,-1,Don't Know
V0674,V0674 - CJF8: Ability to commit offense because of prior job?,1,Yes
V0674,V0674 - CJF8: Ability to commit offense because of prior job?,2,No
V0675,"V0675 - CJG1: Any offenses a ""possession"" of drug",-9,Response missing due to CAPI issue
V0675,"V0675 - CJG1: Any offenses a ""possession"" of drug",-8,Skipped
V0675,"V0675 - CJG1: Any offenses a ""possession"" of drug",-2,Refusal
V0675,"V0675 - CJG1: Any offenses a ""possession"" of drug",-1,Don't Know
V0675,"V0675 - CJG1: Any offenses a ""possession"" of drug",1,Yes
V0675,"V0675 - CJG1: Any offenses a ""possession"" of drug",2,No
V0676,V0676 - CJG2: Possession with intent to distribute drugs,-9,Response missing due to CAPI issue
V0676,V0676 - CJG2: Possession with intent to distribute drugs,-8,Skipped
V0676,V0676 - CJG2: Possession with intent to distribute drugs,-2,Refusal
V0676,V0676 - CJG2: Possession with intent to distribute drugs,-1,Don't Know
V0676,V0676 - CJG2: Possession with intent to distribute drugs,1,Yes
V0676,V0676 - CJG2: Possession with intent to distribute drugs,2,No
V0677,V0677 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Upcoded version,-9,Response missing due to CAPI issue
V0677,V0677 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Upcoded version,-8,Skipped
V0677,V0677 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Upcoded version,1,Marijuana or Hashish
V0677,V0677 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Upcoded version,99,Blank
V0678,V0678 - CJG3_2: Specify drug(s) that were involved-Cocaine: Upcoded version,-9,Response missing due to CAPI issue
V0678,V0678 - CJG3_2: Specify drug(s) that were involved-Cocaine: Upcoded version,-8,Skipped
V0678,V0678 - CJG3_2: Specify drug(s) that were involved-Cocaine: Upcoded version,2,Cocaine
V0678,V0678 - CJG3_2: Specify drug(s) that were involved-Cocaine: Upcoded version,99,Blank
V0679,V0679 - CJG3_3: Specify drug(s) that were involved-Crack: Upcoded version,-9,Response missing due to CAPI issue
V0679,V0679 - CJG3_3: Specify drug(s) that were involved-Crack: Upcoded version,-8,Skipped
V0679,V0679 - CJG3_3: Specify drug(s) that were involved-Crack: Upcoded version,3,Crack
V0679,V0679 - CJG3_3: Specify drug(s) that were involved-Crack: Upcoded version,99,Blank
V0680,V0680 - CJG3_4: Specify drug(s) that were involved-Heroin: Upcoded version,-9,Response missing due to CAPI issue
V0680,V0680 - CJG3_4: Specify drug(s) that were involved-Heroin: Upcoded version,-8,Skipped
V0680,V0680 - CJG3_4: Specify drug(s) that were involved-Heroin: Upcoded version,4,Heroin
V0680,V0680 - CJG3_4: Specify drug(s) that were involved-Heroin: Upcoded version,99,Blank
V0681,V0681 - CJG3_5: Specify drug(s) that were involved-PCP (Angel Dust or Phencyclidine): Upcoded version,-9,Response missing due to CAPI issue
V0681,V0681 - CJG3_5: Specify drug(s) that were involved-PCP (Angel Dust or Phencyclidine): Upcoded version,-8,Skipped
V0681,V0681 - CJG3_5: Specify drug(s) that were involved-PCP (Angel Dust or Phencyclidine): Upcoded version,5,"PCP (""Angel Dust"" or Phencyclidine)"
V0681,V0681 - CJG3_5: Specify drug(s) that were involved-PCP (Angel Dust or Phencyclidine): Upcoded version,99,Blank
V0682,V0682 - CJG3_6: Specify drug(s) that were involved-Ecstasy (MDMA): Upcoded version,-9,Response missing due to CAPI issue
V0682,V0682 - CJG3_6: Specify drug(s) that were involved-Ecstasy (MDMA): Upcoded version,-8,Skipped
V0682,V0682 - CJG3_6: Specify drug(s) that were involved-Ecstasy (MDMA): Upcoded version,6,Ecstasy (MDMA)
V0682,V0682 - CJG3_6: Specify drug(s) that were involved-Ecstasy (MDMA): Upcoded version,99,Blank
V0683,"V0683 - CJG3_7: Specify drug(s) that were involved- Other Hallucinogens (LSD, Peyote, Mescaline, or Psilocybin,",-9,Response missing due to CAPI issue
V0683,"V0683 - CJG3_7: Specify drug(s) that were involved- Other Hallucinogens (LSD, Peyote, Mescaline, or Psilocybin,",-8,Skipped
V0683,"V0683 - CJG3_7: Specify drug(s) that were involved- Other Hallucinogens (LSD, Peyote, Mescaline, or Psilocybin,",7,"Other Hallucinogens (LSD, Peyote, Mescaline, or Psilocybin, found in mushrooms)"
V0683,"V0683 - CJG3_7: Specify drug(s) that were involved- Other Hallucinogens (LSD, Peyote, Mescaline, or Psilocybin,",99,Blank
V0684,"V0684 - CJG3_8: Specify drug(s) that were involved- Methamphetamine (Meth, Crystal, or Crank): Upcoded version",-9,Response missing due to CAPI issue
V0684,"V0684 - CJG3_8: Specify drug(s) that were involved- Methamphetamine (Meth, Crystal, or Crank): Upcoded version",-8,Skipped
V0684,"V0684 - CJG3_8: Specify drug(s) that were involved- Methamphetamine (Meth, Crystal, or Crank): Upcoded version",8,"Methamphetamine (Meth, Crystal, or Crank)"
V0684,"V0684 - CJG3_8: Specify drug(s) that were involved- Methamphetamine (Meth, Crystal, or Crank): Upcoded version",99,Blank
V0685,V0685 - CJG3_9: Specify drug(s) that were involved-Prescription Medications: Upcoded version,-9,Response missing due to CAPI issue
V0685,V0685 - CJG3_9: Specify drug(s) that were involved-Prescription Medications: Upcoded version,-8,Skipped
V0685,V0685 - CJG3_9: Specify drug(s) that were involved-Prescription Medications: Upcoded version,9,Prescription Medications
V0685,V0685 - CJG3_9: Specify drug(s) that were involved-Prescription Medications: Upcoded version,99,Blank
V0686,V0686 - CJG3_10: Specify drug(s) that were involved-Other: Upcoded version,-9,Response missing due to CAPI issue
V0686,V0686 - CJG3_10: Specify drug(s) that were involved-Other: Upcoded version,-8,Skipped
V0686,V0686 - CJG3_10: Specify drug(s) that were involved-Other: Upcoded version,10,Other
V0686,V0686 - CJG3_10: Specify drug(s) that were involved-Other: Upcoded version,99,Blank
V0687,V0687 - CJG3_11: Specify drug(s) that were involved-DK/REF: Upcoded version,-9,Response missing due to CAPI issue
V0687,V0687 - CJG3_11: Specify drug(s) that were involved-DK/REF: Upcoded version,-8,Skipped
V0687,V0687 - CJG3_11: Specify drug(s) that were involved-DK/REF: Upcoded version,7,Don't Know
V0687,V0687 - CJG3_11: Specify drug(s) that were involved-DK/REF: Upcoded version,8,Refusal
V0687,V0687 - CJG3_11: Specify drug(s) that were involved-DK/REF: Upcoded version,9,Blank
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,-9,Response missing due to CAPI issue
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,-8,Skipped
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,0,Not answered due to question skip
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,1,Contained at least one valid response entry
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,2,Missing in-universe
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,3,Recoded: Missing in-universe
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,7,Contained a don't know response
V0688,V0688 - CJG3_12: Specify drug(s) that were involved-Item Flag: Upcoded version,8,Refusal
V0689,V0689 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Original,-9,Response missing due to CAPI issue
V0689,V0689 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Original,-8,Skipped
V0689,V0689 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Original,1,Marijuana or Hashish
V0689,V0689 - CJG3_1: Specify drug(s) that were involved-Marijuana or Hashish: Original,99,Blank
V0690,V0690 - CJG3_2: Specify drug(s) that were involved-Cocaine: Original,-9,Response missing due to CAPI issue
V0690,V0690 - CJG3_2: Specify drug(s) that were involved-Cocaine: Original,-8,Skipped
V0690,V0690 - CJG3_2: Specify drug(s) that were involved-Cocaine: Original,2,Cocaine
V0690,V0690 - CJG3_2: Specify drug(s) that were involved-Cocaine: Original,99,Blank
V0691,V0691 - CJG3_3: Specify drug(s) that were involved- Crack: Original,-9,Response missing due to CAPI issue
V0691,V0691 - CJG3_3: Specify drug(s) that were involved- Crack: Original,-8,Skipped
V0691,V0691 - CJG3_3: Specify drug(s) that were involved- Crack: Original,3,Crack
